时间,新增确诊人数,新增死亡人数,新增疑似人数,新增治愈人数,现有确诊人数,累计治愈人数,累计死亡人数,累计确诊人数,现有疑似人数,累计密切接触者
1.24,444,16,1118,0,1287,38,41,1287,1965,15197
1.25,688,15,1309,11,1975,49,56,1975,2684,23431
1.26,769,24,3806,2,2744,51,80,2744,5794,32799
1.27,1771,26,2077,9,4515,60,106,4515,6973,47833
1.28,1459,26,3248,43,5974,103,132,5974,9239,65537
1.29,1737,38,4148,21,7711,124,170,7711,12167,88693
1.3,1982,43,4812,47,9692,171,213,9692,15238,113579
1.31,2102,46,5019,72,11791,243,259,11791,17988,136987
2.1,2590,45,4562,85,14380,328,304,14380,19544,163844
2.2,2829,57,5173,147,17205,475,361,17205,21558,189583
2.3,3235,64,5072,157,20438,632,425,20438,23214,221015
2.4,3887,65,3971,262,24324,892,490,24324,23260,252154
2.5,3694,73,5328,261,28018,1153,563,28018,24702,282813
2.6,3143,73,4833,387,28985,1540,636,31161,26359,314028
2.7,3399,86,4214,510,31774,2050,722,31774,27657,345498
2.8,2656,89,3916,600,33738,2649,811,37198,28942,371905
2.9,3062,97,4008,632,35982,3281,908,40171,23589,399487
2.1,2478,108,3536,716,37626,3996,1016,42638,21675,428438
2.11,2015,97,3342,744,38800,4740,1113,44653,16067,451462
2.12,15152,254,2807,1171,52526,5911,1367,59804,13435,471531
2.13,5090,121,2450,1081,55748,6723,1380,63851,10109,493067
2.14,2641,143,2277,1373,56873,8096,1523,66492,8969,513183
2.15,2009,142,1918,1323,57416,9419,1665,68500,8228,529418
2.16,2048,105,1563,1425,57934,10844,1770,70548,7264,546016
2.17,1886,98,1432,1701,58016,12552,1868,72436,6242,560901
2.18,1749,136,1185,1824,57805,14376,2004,74185,5248,574418
2.19,394,114,1277,1779,56303,16155,2118,74576,4922,589163
2.2,889,118,1614,2109,54965,18264,2236,75465,5206,606037
2.21,397,109,1361,2393,53284,20659,2345,76288,5365,618915
2.22,648,97,882,2230,51606,22888,2442,76936,4148,628517
2.23,409,150,620,1846,49824,24734,2592,77150,3434,635531
2.24,508,71,530,2589,47672,27323,2663,77658,2824,641742
2.25,406,52,439,2422,45604,29745,2715,78064,2491,647406
2.26,433,29,508,2750,43258,32495,2744,78497,2358,652174
2.27,327,44,452,3622,39919,36117,2788,78824,2308,656054
2.28,427,47,248,2885,37414,39002,2835,79251,1418,658587
2.29,573,35,132,2623,35329,41625,2870,79824,851,660716
3.1,202,42,141,2837,32652,44462,2912,80026,715,663240
3.2,125,31,129,2742,30004,47204,2943,80151,587,664899
3.3,119,38,143,2652,27433,49856,2981,80270,520,666397
3.4,139,31,143,2189,25352,52045,3012,80409,522,669025
3.5,143,30,102,1681,23784,53726,3042,80552,482,670854
3.6,99,28,99,1678,22177,55404,3070,80651,502,672458
3.7,44,27,84,1661,20533,57065,3097,80695,458,674038
3.8,40,22,60,1535,19016,58600,3119,80735,421,674760
3.9,19,17,36,1297,17721,59897,3136,80754,349,675338
3.1,24,22,31,1578,16145,61475,3158,80778,285,675886
3.11,15,11,33,1318,14831,62793,3169,80793,253,677243
3.12,8,7,33,1318,13526,64111,3176,80813,147,678088
3.13,11,13,17,1430,12094,65541,3189,80824,115,678935
3.14,20,10,39,1370,10734,66911,3199,80844,113,679759
3.15,16,14,41,838,9898,67749,3213,80860,134,680462
3.16,21,13,45,930,8976,68679,3226,80881,128,681404
3.17,13,11,21,922,8056,69601,3237,80894,119,682327
3.18,34,8,23,819,7263,70420,3245,80928,105,683281
3.19,39,3,31,730,6569,71150,3248,80967,104,684331
3.2,41,7,36,590,6013,71740,3255,81008,106,685866
3.21,46,6,45,504,5549,72244,3261,81054,118,687680
3.22,39,9,47,459,5120,72703,3270,81093,136,688993
3.23,78,7,35,456,4735,73159,3277,81171,132,691185
3.24,47,4,33,491,4287,73650,3281,81218,134,693223
3.25,67,6,58,401,3947,74051,3287,81285,159,695305
3.26,55,5,49,537,3460,74588,3292,81340,189,697470
3.27,54,3,29,383,3128,74971,3295,81394,184,699396
3.28,45,5,28,477,2691,75448,3300,81439,174,701884
3.29,31,4,17,322,2396,75770,3304,81470,168,704190
3.3,48,1,44,282,2161,76052,3305,81518,183,706017
3.31,36,7,26,186,2004,76238,3312,81554,172,707913
4.1,35,6,20,170,1863,76408,3318,81589,153,709570
4.2,31,4,12,163,1727,76571,3322,81620,135,710985
4.3,19,4,11,180,1562,76751,3326,81639,114,712088
4.4,30,3,11,213,1376,76964,3329,81669,107,713110
4.5,39,1,10,114,1299,77078,3331,81708,88,713988
4.6,32,0,12,89,1242,77167,3331,81740,0,714720
4.7,62,2,12,112,1190,77279,3333,81802,0,715854
4.8,63,2,17,91,1160,77370,3335,81865,0,716889
4.9,42,1,3,85,1116,77455,3336,81907,0,717378
4.1,46,3,8,70,1089,77525,3339,81953,0,718050
4.11,99,0,49,50,1138,77575,3339,82052,0,718881
4.12,108,2,6,88,1156,77663,3341,82160,0,719908
4.13,89,0,3,75,1170,77738,3341,82249,0,720544
4.14,46,1,11,78,1137,77816,3342,82295,0,721295
4.15,46,0,4,76,1107,77892,3342,82341,0,722007
4.16,26,0,3,52,1081,77944,3342,82367,0,722909
4.17,27,0,5,50,1058,77029,4632,82719,0,723835
4.18,16,0,2,33,1041,77062,4632,82735,0,724850
4.19,12,0,2,22,1031,77084,4632,82747,0,725814
4.2,11,0,3,39,1003,77123,4632,82758,0,726797
4.21,30,0,3,28,1005,77151,4632,82788,0,727589
4.22,10,0,0,56,959,77207,4632,82798,0,728049
4.23,6,0,2,50,915,77257,4632,82804,0,728590
4.24,12,0,3,89,838,77346,4632,82816,0,729287
4.25,11,0,0,48,801,77394,4632,82827,0,729885
4.26,3,0,5,80,723,77474,4633,82830,0,730529
4.27,6,0,1,81,648,77555,4633,82836,0,731015
4.28,22,0,2,23,647,77578,4633,82858,0,731910
4.29,4,0,3,32,619,77610,4633,82862,0,732369
4.3,12,0,3,32,599,77642,4633,82874,0,732966
5.1,1,0,2,43,557,77685,4633,82875,11,733733
5.2,2,0,0,28,531,77713,4633,82877,10,734281
5.3,3,0,1,53,481,77766,4633,82880,3,734766
5.4,1,0,0,87,395,77853,4633,82881,2,735240
5.5,2,0,3,58,339,77911,4633,82883,5,735577
5.6,2,0,2,46,295,77957,4633,82885,4,735737
5.7,1,0,3,36,260,77993,4633,82886,6,736010
